strain,mean_b,se_b,genotype,block
ECA347,259.75,9.5076723404487,divergent,1
ECA36,192.4,12.9096862858863,divergent,1
ECA724,220.6,9.59479025304879,divergent,1
ECA740,184.2,16.3871901191144,divergent,1
ECA741,253,13.5030860670194,divergent,1
ECA742,195,7.81024967590665,divergent,1
ECA396,158.8,16.4420193407014,divergent,3
ECA722,133.5,20.0686322403895,divergent,3
ECA723,226.6,7.8268767717398,divergent,3
ECA730,240.8,21.2047164564868,divergent,3
JU3226,190.5,19.2808194846588,divergent,3
XZ1514,210,8.5848704125339,divergent,3
XZ1516,254.4,7.44043009509531,divergent,3
ECA1202,191,11.273863579093,divergent,4
ECA1206,213.2,7.7614431647729,divergent,4
ECA1211,197.4,6.51613382305796,divergent,4
ECA1228,159.2,7.61183289359403,divergent,4
ECA1269,184.4,16.1077621040292,divergent,4
ECA1281,203.4,6.860029154457,divergent,4
ECA1287,195.8,15.6952222029508,divergent,4
N2,307.75,5.75,swept,4
ECA2686,197.8,5.86003412959344,divergent,4
ECA369,210,21.855586623714,divergent,5
ECA712,281.75,24.2121698050106,divergent,5
ECA732,239.2,10.3556747727997,divergent,5
ECA733,241.25,22.0165657327992,divergent,5
ECA744,248.6,5.03587132480567,divergent,5
ECA746,201.4,28.0706252156948,divergent,5
ED3012,248.2,10.1803732740995,swept,5
JU367,178.8,18.993156662335,swept,5
QX1791,235.2,6.41404708432983,divergent,5
CB4856,237,7.75886589650833,divergent,6
ECA593,212.6,14.3024473430249,divergent,6
ECA706,235,9.5236547606473,divergent,6
ECA760,177.8,10.9151271179039,divergent,6
ECA768,217.25,10.4193329920874,divergent,6
ECA778,169,9.52890339965728,divergent,6
ECA807,181.8,27.2954208613826,divergent,6
JU1200,254.4,7.44714710476435,swept,6
NIC277,252.8,12.9707362936728,swept,6
XZ2019,237.2,11.6807534003591,divergent,6
DL238,248.666666666667,17.0522074165716,divergent,7
ECA703,149.25,30.7743805786567,divergent,7
ECA705,194,17.0538363230486,divergent,7
ECA738,237.333333333333,22.2810332894245,divergent,7
QX1794,214.333333333333,18.7823794493077,divergent,7
ECA592,214.25,5.40640052776953,swept,9
ECA743,262.4,14.1053181460044,divergent,9
JU2879,134.6,23.4938289769888,swept,9
JU310,283.2,11.2933608815091,swept,9
JU394,286.8,12.3547561691844,swept,9
MY16,287.2,4.61952378498044,divergent,9
MY23,264.25,7.04006392016436,divergent,9
QX1792,196.4,12.5243762319726,swept,9
QX1793,216.6,7.2773621594641,divergent,9
XZ1515,135.4,25.4903903461677,swept,9
CX11254,106,20.3273215156351,swept,10
CX11262,282.4,13.8007246186568,swept,10
ECA348,235.8,9.96694536957036,divergent,10
ECA363,195.8,12.3263944444432,divergent,10
ECA594,229.8,17.3792980295523,swept,10
ECA710,121,18.0092568789868,divergent,10
ECA745,194.2,3.95474398665704,divergent,10
JU1530,307.6,13.50037036529,swept,10
JU1568,256.8,15.9511755052723,swept,10
PS2025,239.8,17.5823775411632,swept,10
CX11264,209,9.59166304662544,swept,11
ECA189,236.25,14.6023685293403,divergent,11
ECA372,246.2,10.0468900660851,divergent,11
ECA812,230,11.0151410945722,divergent,11
ECA923,227,23.7872514875791,swept,11
JU1586,218.6,11.664475984801,swept,11
JU406,220.4,9.1465840618233,swept,11
JU440,283.4,22.630952255705,swept,11
XZ1513,131,19.0026313967303,divergent,11
ED3040,291.6,11.3692567918928,swept,12
EG4349,288.8,16.6775297931079,swept,12
JU1172,267.2,16.9687948894434,swept,12
JU775,235,20.0041662327293,swept,12
QG556,229,21.0356839679626,swept,12
DL226,279.4,27.8075529308136,swept,13
ECA928,218.5,21.5503286904554,swept,13
ED3005,269.8,17.3360895244574,swept,13
ED3011,294.5,17.5,swept,13
JU1491,335.4,17.2325273828304,swept,13
KR314,307.75,12.0026038841578,swept,13
MY1,293.8,20.669784711022,swept,13
MY18,278.6,10.4718670732587,swept,13
QG536,273.5,13.6656503687164,swept,13
QX1212,289,14,swept,13
EG4946,268.25,8.54766049863938,swept,14
JU1088,264.5,15.6284996080878,swept,14
JU323,288,24.9919987195902,swept,14
JU751,144.75,9.91106284243353,swept,14
JU830,204,11.7813411800185,swept,14
QX1233,242.75,12.023414656411,swept,14
CB4854,251.4,13.4632834033901,swept,15
CX11292,239.6,14.5485394455938,swept,15
GXW1,247,6.83373982530795,swept,15
JU2464,215.6,11.1202517957104,swept,15
JU561,233.6,22.9621427571557,swept,15
JU847,199.75,11.3238318014119,swept,15
NIC166,247.2,14.2877569968137,swept,15
NIC274,247.6,13.5521216051215,swept,15
NIC276,208.6,15.961202962183,swept,15
RC301,173.6,30.3654408826877,swept,15
JT11398,291.2,16.1567323428966,swept,8
JU1242,206.25,29.3892695837557,swept,8
JU1896,218.6,9.88230742286436,swept,8
JU311,294.2,7.47261667690776,swept,8
JU393,223,8.02496105909555,swept,8
JU397,276.2,5.8,swept,8
PX179,273.2,15.7047763435205,swept,8
WN2002,149.2,12.9050377760005,swept,8
BRC20067,299.4,9.67780966954817,swept,2
JU1395,287.4,15.2826699238059,swept,2
JU1581,250.75,1.79698822107065,swept,2
JU2007,302.8,11.93901168439,swept,2
JU346,299,6.05805249234438,swept,2
JU360,248.2,25.1980157948994,swept,2
JU642,222.75,20.9140104555136,swept,2
