strain,mean_b,Location,genotype
CB4854,251.4,North America,swept
CB4856,237,Hawaii,divergent
CX11254,106,North America,swept
CX11262,282.4,North America,swept
CX11264,209,North America,swept
CX11292,239.6,North America,swept
DL226,279.4,North America,swept
DL238,248.666666666667,Hawaii,divergent
ECA1202,191,Hawaii,divergent
ECA1206,213.2,Hawaii,divergent
ECA1211,197.4,Hawaii,divergent
ECA1228,159.2,Hawaii,divergent
ECA1269,184.4,Hawaii,divergent
ECA1281,203.4,Hawaii,divergent
ECA1287,195.8,Hawaii,divergent
ECA189,236.25,Hawaii,divergent
ECA2686,197.8,Hawaii,divergent
ECA347,259.75,Hawaii,divergent
ECA348,235.8,North America,swept
ECA363,195.8,Hawaii,divergent
ECA369,210,Hawaii,divergent
ECA372,246.2,Hawaii,divergent
ECA396,158.8,Hawaii,divergent
ECA592,214.25,North America,swept
ECA593,212.6,North America,divergent
ECA594,229.8,North America,swept
ECA703,149.25,Hawaii,divergent
ECA705,194,Hawaii,divergent
ECA706,235,Hawaii,divergent
ECA710,121,Hawaii,divergent
ECA712,281.75,Hawaii,divergent
ECA722,133.5,Hawaii,divergent
ECA723,226.6,Hawaii,divergent
ECA724,220.6,Hawaii,divergent
ECA730,240.8,Hawaii,divergent
ECA732,239.2,Hawaii,divergent
ECA733,241.25,Hawaii,divergent
ECA738,237.333333333333,Hawaii,divergent
ECA740,184.2,Hawaii,divergent
ECA741,253,Hawaii,divergent
ECA742,195,Hawaii,divergent
ECA743,262.4,Hawaii,divergent
ECA744,248.6,Hawaii,divergent
ECA745,194.2,Hawaii,divergent
ECA746,201.4,Hawaii,divergent
ECA760,177.8,Hawaii,divergent
ECA768,217.25,Hawaii,divergent
ECA778,169,Hawaii,divergent
ECA807,181.8,Hawaii,divergent
ECA812,230,Hawaii,divergent
ECA923,227,Hawaii,swept
ECA928,218.5,Hawaii,swept
ED3005,269.8,Europe,swept
ED3011,294.5,Europe,swept
ED3012,248.2,Europe,swept
EG4349,288.8,North America,swept
EG4946,268.25,North America,swept
JT11398,291.2,North America,swept
JU1200,254.4,Europe,swept
JU1242,206.25,Europe,swept
JU1395,287.4,Europe,swept
JU1491,335.4,Europe,swept
JU1530,307.6,Europe,swept
JU1568,256.8,Europe,swept
JU1581,250.75,Europe,swept
JU1586,218.6,Europe,swept
JU1896,218.6,Europe,swept
JU2007,302.8,Europe,swept
JU2879,134.6,North America,swept
JU310,283.2,Europe,swept
JU311,294.2,Europe,swept
JU323,288,Europe,swept
JU346,299,Europe,swept
JU360,248.2,Europe,swept
JU367,178.8,Europe,swept
JU393,223,Europe,swept
JU394,286.8,Europe,swept
JU397,276.2,Europe,swept
JU406,220.4,Europe,swept
JU440,283.4,Europe,swept
JU561,233.6,Europe,swept
JU642,222.75,Europe,swept
JU751,144.75,Europe,swept
JU775,235,Europe,swept
JU830,204,Europe,swept
JU847,199.75,Europe,swept
KR314,307.75,North America,swept
MY1,293.8,Europe,swept
MY16,287.2,Europe,divergent
MY18,278.6,Europe,swept
MY23,264.25,Europe,divergent
N2,307.75,Europe,swept
NIC166,247.2,Europe,swept
NIC274,247.6,Europe,swept
NIC276,208.6,Europe,swept
NIC277,252.8,Europe,swept
PS2025,239.8,North America,swept
PX179,273.2,North America,swept
QG536,273.5,North America,swept
QG556,229,North America,swept
QX1212,289,North America,swept
QX1233,242.75,North America,swept
QX1791,235.2,Hawaii,divergent
QX1792,196.4,Hawaii,swept
QX1793,216.6,Hawaii,divergent
QX1794,214.333333333333,Hawaii,divergent
RC301,173.6,Europe,swept
WN2002,149.2,Europe,swept
XZ1513,131,Hawaii,divergent
XZ1514,210,Hawaii,divergent
XZ1515,135.4,Hawaii,swept
XZ1516,254.4,Hawaii,divergent
XZ2019,237.2,North America,divergent
