strain,longitude,latitude,n_swept_chr
BRC20067,121.169736,24.072954,3
CB4854,-118.131,34.189,4
CB4856,-157.86,21.33,0
CX11254,-118.114835,34.130138,2
CX11262,-118.114835,34.130138,3
CX11264,-118.114835,34.130138,3
CX11292,-118.30582,34.13531,4
DL226,-123.2821,44.5633,4
DL238,-155.81,19.11,0
ECA36,174.745529,-36.893333,0
ED3005,-3.36,55.94,4
ED3011,-3.19,55.92,4
ED3012,-3.19,55.92,4
ED3040,28.016667,-26.166667,3
EG4349,-111.87316,40.771467,3
EG4946,-111.82184,40.72596,4
GXW1,114.419828,30.542889,3
JT11398,-122.275484,47.763944,4
JU1088,138.0149,34.7613,3
JU1172,-73.04,-36.87,4
JU1200,-4.6,55.577,4
JU1242,1.9595,49.1269,3
JU1395,0.04619,47.2199,4
JU1491,1.06,46.63,3
JU1530,2.1725,48.7015,3
JU1568,2.3862,48.8092,4
JU1581,2.1725,48.7015,1
JU1586,1.06,46.63,4
JU1896,23.749673,37.999722,2
JU2007,-1.32413,50.7608,4
JU2464,-72.525,-13.155,4
JU310,1.06,46.63,3
JU311,4.4,44.42,2
JU323,4.4,44.42,3
JU346,4.4,44.42,2
JU360,2.23,48.98,4
JU367,2.23,48.98,3
JU393,-0.32,49.28,2
JU394,-0.32,49.28,2
JU397,-0.32,49.28,2
JU406,-0.32,49.28,2
JU440,1.56,48.715,4
JU561,-3.81,48.71,4
JU642,2.5,48.84,3
JU751,2.5,48.84,2
JU775,-9.1486,38.7175,1
JU830,9.05,48.52,3
JU847,7.461,48.46,2
KR314,-123.13,49.28,4
MY1,7.31,52.54,3
MY16,7.57,51.93,0
MY18,7.53,51.96,2
MY23,7.53,51.96,0
N2,-2.59,51.45,4
NIC166,6.89775,46.72722,2
NIC274,-8.756356,39.769459,3
NIC276,-8.756356,39.769459,3
NIC277,7.266138,43.716441,3
PS2025,-118.13,34.19,2
PX179,-123.058,44.035,3
QG536,-122.4415,37.7679,4
QG556,-119.702021,34.421629,1
QX1212,-122.4331,37.7502,4
QX1233,-122.2838,37.8804,4
QX1791,-156.3935,20.6344,0
QX1792,-156.35475,20.70554,1
QX1793,-156.35678,20.70559,0
QX1794,-156.35678,20.70559,0
RC301,7.84,47.99,4
WN2002,5.694834,51.975285,3
ECA189,-155.2225,19.423889,0
ECA348,-122.253889,37.775334,2
ECA363,-156.304444,20.723611,0
ECA369,-157.006389,21.175556,0
ECA372,-159.664444,22.121667,0
ECA396,-155.235493,19.449831,0
JU2879,-99.098769,19.29732,2
XZ1513,-159.63105,22.14787,0
XZ1514,-159.668,22.149,0
XZ1515,-159.668,22.149,2
XZ1516,-159.668,22.149,0
ECA347,-155.303611,19.438889,0
ECA592,-119.640915,34.417128,1
ECA593,-119.642159,34.418632,0
ECA594,-119.640673,34.417532,1
ECA703,-155.438922,20.038831,0
ECA705,-155.438922,20.038831,0
ECA706,-155.438922,20.038831,0
ECA710,-155.438103,20.039656,0
ECA712,-155.222478,19.423864,0
ECA722,-155.222625,19.423975,0
ECA723,-155.221661,19.424272,0
ECA724,-155.303825,19.439144,0
ECA730,-155.222483,19.423869,0
ECA732,-155.81845,19.115403,0
ECA733,-155.818386,19.115886,0
ECA738,-156.9740559,21.13927631,0
ECA740,-156.339189,20.670022,0
ECA741,-156.338322,20.6762,0
ECA742,-156.2781,20.80569,0
ECA743,-156.32317,20.741871,0
ECA744,-155.949572,19.719231,0
ECA745,-155.955839,19.700464,0
ECA746,-155.819336,19.115292,0
ECA760,-155.441619,20.039869,0
ECA768,-155.441556,20.039914,0
ECA778,-155.441503,20.039908,0
ECA807,-155.441531,20.039869,0
ECA812,-155.441542,20.039917,0
ECA923,-157.707918,21.290067,2
ECA928,-157.707918,21.290067,1
JU3226,174.76872,-41.29085,0
XZ2019,-122.305887,47.636483,0
ECA1228,-155.9473,19.72137,0
ECA1269,-155.8197,19.12069,0
ECA1281,-155.9486,19.72013,0
ECA1287,-155.8196,19.11985,0
ECA2686,-155.819633,19.11985354,0
ECA1202,-155.949094,19.718972,0
ECA1206,-155.949094,19.718972,0
ECA1211,-155.948872,19.718764,0
